id,title,release_date,moby_score,moby_url,platforms,genres,developers,publishers
120555,Resident Evil 2,2019-01-25,8.91,https://www.mobygames.com/game/120555/resident-evil-2/,"Windows, PlayStation 4, Xbox One, PlayStation 5","Action, Shooter, Puzzle elements, Horror, Survival horror, Behind view, Direct control, Contemporary, North America, Regional differences","Capcom Co., Ltd.","Capcom Co., Ltd."
60922,The Last of Us,2013-06-14,8.86,https://www.mobygames.com/game/60922/the-last-of-us/,"PlayStation 3, PlayStation Now","Action, Shooter, Post-apocalyptic, Stealth, Survival horror, Behind view, Direct control, Quick Time Events (QTEs), Regional differences","Naughty Dog, Inc.","Sony Computer Entertainment America LLC, Sony Computer Entertainment Inc., Sony Computer Entertainment Europe Ltd."
67674,The Last of Us: Remastered,2014-07-29,8.83,https://www.mobygames.com/game/67674/the-last-of-us-remastered/,PlayStation 4,"Action, Shooter, Post-apocalyptic, Compilation, Stealth, Survival horror, Behind view, Direct control, Quick Time Events (QTEs), Regional differences","Naughty Dog, Inc.","Sony Computer Entertainment America LLC, SCE Worldwide Studios, Sony Computer Entertainment Europe Ltd., Sony Computer Entertainment Inc."
62275,Grand Theft Auto V,2013-09-17,8.82,https://www.mobygames.com/game/62275/grand-theft-auto-v/,"Windows, Xbox 360, PlayStation 3, PlayStation 4, Xbox One, PlayStation 5, Xbox Series, Xbox Cloud Gaming","Action, Racing / Driving, 1st-person, Shooter, Crime, Behind view, Sandbox / open world, Direct control, Contemporary, Regional differences",Rockstar North Ltd.,"Rockstar Games, Inc."
45664,God of War III,2010-03-16,8.79,https://www.mobygames.com/game/45664/god-of-war-iii/,"PlayStation 3, PlayStation 4, PlayStation Now","Action, Puzzle elements, Hack and slash, Fantasy, Adult, Behind view, Classical antiquity, Quick Time Events (QTEs), Regional differences",SCE Studio Santa Monica,"Sony Computer Entertainment America Inc., Sony Computer Entertainment America LLC, Sony Interactive Entertainment Inc., Sony Computer Entertainment Europe Ltd."
190774,The Last of Us: Part I,2022-09-02,8.75,https://www.mobygames.com/game/190774/the-last-of-us-part-i/,"Windows, PlayStation 5","Action, Post-apocalyptic, Fantasy, Horror, Stealth, Thriller, Behind view, RPG elements, Direct control, North America, Quick Time Events (QTEs), Regional differences","Naughty Dog, Inc.","Sony Interactive Entertainment Europe Ltd., Playstation PC LLC, Sony Interactive Entertainment America LLC"
17344,God of War,2005-03-22,8.73,https://www.mobygames.com/game/17344/god-of-war/,"PlayStation 2, PlayStation 3","Action, Puzzle elements, Hack and slash, Fantasy, 3rd-person (Other), Cinematic camera, Direct control, Classical antiquity, Quick Time Events (QTEs), Regional differences",SCE Studio Santa Monica,"Capcom Co., Ltd., Sony Computer Entertainment Europe Ltd., Sony Computer Entertainment Inc., Sony Computer Entertainment America Inc."
146798,The Last of Us: Part II,2020-06-18,8.73,https://www.mobygames.com/game/146798/the-last-of-us-part-ii/,"PlayStation 4, PlayStation Now","Action, Post-apocalyptic, Fantasy, Horror, Stealth, Thriller, Behind view, RPG elements, Direct control, North America, Quick Time Events (QTEs), Regional differences","Naughty Dog, Inc.","SCE Worldwide Studios, Sony Interactive Entertainment Inc., Sony Interactive Entertainment Europe Ltd., Sony Interactive Entertainment America LLC"
15735,Metal Gear Solid 3: Snake Eater,2004-11-17,8.71,https://www.mobygames.com/game/15735/metal-gear-solid-3-snake-eater/,PlayStation 2,"Action, 1st-person, Shooter, Spy / espionage, Stealth, Diagonal-down, Direct control, Cold War, Regional differences","Konami Computer Entertainment Japan, Inc.","Konami Corporation, Konami Digital Entertainment, Inc., Konami of Europe GmbH, ak tronic Software & Services GmbH, Konami Digital Entertainment GmbH"
7300,Super Mario Bros. 3,1988-10-23,8.71,https://www.mobygames.com/game/7300/super-mario-bros-3/,"NES, Wii, Nintendo 3DS, Wii U, Arcade, Nintendo Switch","Action, Side view, Platform, 2D scrolling, Direct control, Regional differences","Nintendo Co., Ltd., Nintendo EAD, Nintendo R&D2","Nintendo Co., Ltd."
155,Half-Life,1998-11-19,8.7,https://www.mobygames.com/game/155/half-life/,"Linux, Windows, Macintosh","Action, 1st-person, Sci-fi / futuristic, Shooter, Direct control, North America, Regional differences",Valve L.L.C.,"Sierra Entertainment, Inc., Valve Corporation, Sierra On-Line, Inc."
